category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
N,He fought with his fists.,fist,مُشتہٕ,,मुठ्ठी,
Adj,He keeps himself fit by regular excercises.,fit,صحَت منٛد,,स्वस्थ,
Adj,This water is not fit for drinking.,fit,ٹھیٖک,,उपयुक्त,
Adj,It is fit and proper to leave on sunday.,fit,ٹھیٖک,,उचित,
N,She gets epileptic fits.,fit,دورٕ,,दौरा,
N,He slapped his friend in a fit of anger.,fit,جوش,,आवेश,
N,His coat looks a good fit.,fit,میٖژُک,,नाप_का,
V,Only four persons can fit in this car.,fit,واتُن,,समाना,
V,The peg is a tight fit on this hole.,fit,صٔحیح بِہُن,,सही_बैठना,
Adj,He somehow fitted all his clothes in the bag.,fitted,واتناوٕنۍ,,समा_देना,
Adj,He gave a fitting speech on the occasion.,fitting,مُنٲسِب،صٔحیح,,सामायक,
N,All the fittings in this office are removable.,fitting,سامان,,सामान,
N,I prefer tailored fitting dresses.,fitting,فِٹِنٛگ,,कपड़े_बनवाना,
Det,There were five children on the bus.,five,پانٛژ,,पाँच,
N,She is only five years old.,five,پانٛژ,,पाँच,
Det,There were five persons sailing on the boat.,five,پانٛژ,,पाँच,
N,There were five persons sailing on the boat.,five,پانٛژ,,पाँच,
N,Five is an odd number.,five,پانٛژ,,पाँच,
Art,There were only five people in the office.,five,پانٛژ,,पाँच,
Adj,They own five shops in Mumbai.,five,پانٛژ,,पाँच,
V,Please fix this ceramic doll.,fix,جوڑُن،واٹھ دیُن,,जोडना,
V,We should fix the time for meeting.,fix,مُقرَر کَرُن,,निश्चित_करना,
V,Please fix up a meal for the guests tonight.,fix,تَیار کَرُن،رَنُن,,तैयार_करना,
V,I need to fix my bicycle.,fix,ٹھیٖک کَرٕنۍ,,ठीक_करना,
V,He has already fixed the complications with police.,fix,سَٹہٕ وَٹہٕ کَرُن,,साँठ_गाँठ_करना,
V,I fixed him nicely with this answer.,fix,سَزا دیُن،پٔٹھراوُن,,दंड_देना,
V,Please fix this photograph on the wall.,fix,لَگاوُن,,पुष्ट_करना,
N,She has put herself in a great fix.,fix,مُشکِل،مُصیٖبَت,,कठिनाई,
N,The culprit managed to get away because the case was a fix.,fix,بےایمٲنی,,बेइमानी,
N,A drug addict needs frequent fixes to keep calm.,fix,نَشاور دَوا,,नशीली_दवाई,
N,Please fix the positions accordingly.,fix,پَے،نٮ۪ب,,स्थापना,
Adj,All prices are fixed at this shop.,fixed,گٔنٛڑتھ، طے,,स्थिर_की_हुई,
Adj,He has fixed ideas about his son.,fixed,ڈٔٹِتھ,,दृढ_किया_हुआ,
Adj,I do not have any fixed time for lunch.,fixed,گٔنٛڑِتھ,,स्थापित_किया_हुआ,
N,The flag was fluttering in the breeze.,flag,جَنٛڑٕ,,झंडा,
N,Flag plant usually grow near water.,flag,اَکہِ قٕسمُک کُل,,एक_तरह_का_पेड़,
V,He flagged the taxi to stop.,flag,اِشارٕ ہاوُن,,संकेत_देना,
V,The interest in the project is flagging.,flag,دِلچَسپی کَم گَژٕھنۍ,,कमज़ोर_होना,
N,The building was in flames in the middle of the night.,flame,ریٚہہ,,लपट,
N,In autumn plane trees bloom in scarlet flames.,flame,شوخ رَنٛگ,,भड़कीला_रंग,
N,His love letter kindled the flame of passion in her.,flame,عٔشقُن نار,,तीव्र_चेतन,
N,He greeted his old flame warmly at the party.,flame,معشوق,,प्रेमी,
N,The flames of the fire were rising high in the sky.,flame,نارٕ برٛیہہ,,आग_की_ज्वाला,
N,The whole area was glowing with flames of the fire.,flame,ناروٗو....,,आग_का_रंग,
V,His face flamed with anger.,flame,شَرارت کَھسُن،نار چَھکُن,,क्रोधित_होना,
N,There was a sudden flash of lightening in the sky.,flash,زٕژ,,चमक,
N,A flash is needed for taking photographs in the dark.,flash,فٕلَش,,फ्लैश_यंत्र,
N,He wears flash of his rank at all functions.,flash,ہاو باو,,पद_का_संकेत,
Adj,He dressed in a flash outfit for the wedding.,flash,لوٗبوُن,,आकर्षक_व्सतु,
V,"When she is annoyed, her eyes flash angrily.",flash,زوتان,,चमकना,
V,The cars were flashing by at high speed on the highway.,flash,تیز ژَلان,,तीव्र_गति_से_जाना,
V,There was a flash in the news about the devastating floods.,flash,سُرخی وَنٕنۍ،تازٕ خَبَر دِنۍ,,समाचार_देना,
V,Please flash your identification before you enter.,flash,ہاوُن,,दिखाना,
Adj,This building has a flat roof.,flat,چَپٹہٕ،ہَم وار,,समतल,
Adj,He was speaking in a dull flat voice.,flat,لۄتہِ,,बिना_उतार_चढ़ाववाला,
Adj,The share market has been flat for quite sometime.,flat,ٹَھپ,,मंद,
Adj,The contractor is charging a flat rate for supply of labour.,flat,ہِشی,,एक_समान,
Adj,This symphony is in a flat musical note.,flat,ہَلکہٕ,,संगीत_का_एक_नोट,
Adj,This soda has become flat due to long storage.,flat,سادٕ,,पुराना_हुआ_पेय,
Adj,He had a flat tyre on his way to the office.,flat,پَنچَر دار,,पंक्चर_हुआ,
Adj,His car could not start as the battery was flat.,flat,بِہِتھ,,खराब_होना,
Adj,He could not be selected for the army as he had flat feet.,flat,چَپٹہٕ,,बिना_घुमाव_का_होना,
Adj,The restaurant serves flat food.,flat,سیوٚن,,फीका,
N,He lives in a flat on the third floor.,flat,مکان,,घर,
N,He slapped him with a flat hand.,flat,منٛز اَتھٕ,,समतल_भाग,
N,Salt is collected on flat areas near sea shores.,flat,۔۔۔,,समुद्र_किनारे_का_समतल_भाग,
Adv,The buildings were razed flat to the ground due to earthquake.,flat,زٔمیٖنَس لارُن,,गिरा_देना,
Adv,Keep the furniture flat against the wall.,flat,سیوٚد,,सीधा_रखना,
Adv,The singer sang all songs in a flat voice.,flat,سادٕ طَرزَس پٮ۪ٹھ,,बिना_उतार_चढ़ाव_के,
Adv,I will be able to complete this work in flat two days.,flat,سیوٚد,,अनुमानित,
N,Dinner has tasty flavour.,flavour,مَزٕ,,स्वाद,
N,This city has a distinct flavour of bygone times.,flavour,مَزٕ,,पुट,
V,She flavoured the rice-dish with mint.,flavour,مَزٕ دار بَناوُن,,खास_स्वाद_बनाना,
V,The crowd fled the market as soon as possible.,flee,ژَلُن,,भाग_जाना,
N,A fleet of ships was deployed to evacuate persons stranded on the coast.,fleet,جہازَن ہٕنٛد دَستہٕ,,जहाजी_बेड़ा,
N,The company maintained a fleet of cars for its officers.,fleet,جُنٛڑ,,गाड़ियों_का_समूह,
Adj,He has trained a fleet footed team for the up coming competition.,fleet,تیز,,तेज़,
N,They are flesh eating animals.,flesh,ماز,,माँस,
N,Flesh of apples is tasty to eat.,flesh,ماز،گوٗج,,गूदा,
V,You need to flesh the theses with some more data.,flesh,تَفصیٖل کَرٕنۍ,,विस्तार_में_जाना,
N,The plan has enough flexibility to suit the changes.,flexibility,نَرمی,,लचीलापन,
Adj,His body is flexible with regular excercises.,flexible,نَرٕم,,लचीला,
Adj,The plan for the trip should be flexible enough to consider the weather changes.,flexible,نَرٕم,,स्थिति_के_अनुरूप_ढालना,
N,A flock of birds took flight at once.,flight,وٕڑَو،پَرواز،ہَوٲیی سَفَر,,उड़ान,
N,The flight was quite pleasant.,flight,ہَوٲیی سَفَر,,हवाई_यात्रा,
N,You have to climb a steep flight of stairs to reach the top of the temple.,flight,ہیٖرٕ,,सीढ़ियाँ,
N,His riches are only his flight of imagination.,flight,وٕڑَو,,कल्पना_की_उड़ान,
N,There was a flight of residents from the border as the war began.,flight,لار,,पलायन,
V,After finishing the exams he flung the book into air.,fling,چَھکُن,,फेंकना,
V,He flunged the letter into tthe fire.,fling,دَکہٕ دیُن،دَب دیُن,,धक्का_देना,
V,She flung the books into the bag and walked out.,fling,ہِلاوُن،دَب دیُن,,हिलाना/पटक_देना,
V,They were flinging rude remarks on each other.,fling,کھالٕنۍ,,डालना,
N,The students had a wonderful fling before leaving the university.,fling,لُطُف,,आनन्दित_होना,
N,She has been having a fling with her boss.,fling,ناجٲیِز تعلوٗقات,,प्रेम_प्रसंग,
V,The dead body was found floating on the river.,float,یٖران,,बहना,
V,She kept on floating in the pool to relax.,float,سرٛانٛٹھ وایِنۍ,,तैरना,
V,He floated an idea for the promotion of the new product.,float,دیُن,,राय_देना,
V,This company has floated its first public issue.,float,جٲری کَرُن,,ज़ारी_करना,
V,Countries normally float their currency against the US Dollar.,float,بَرابٔری کَرٕنۍ,,मुद्रा_का_संतुलन_रखना,
N,Attach a float to the fishing rod to prevent its sinking.,float,پٮ۪ن کٔٹ,,तैरने_वाला_पदार्थ,
N,There were many interesting floats in the Republic Day parade.,float,جانٛکی,,झाँकी,
N,Bus conducters usually fall short of the float.,float,پُھٹہٕ ووٹ,,रेज़गारी,
V,The city was flooded due to inadequate drainage.,flood,سٔہلاب یُن,,पानी_भर_जाना,
V,The river is flooded due to heavy rains.,flood,سٔہلاب یُن,,बाढ़_आना,
V,The markets are flooded with many electronic goods.,flood,واریاہ تعدادَس مَنٛز,,बहुतायत_से,
V,This room is flooded with light as it has large windows.,flood,بٔرِتھ,,भर_जाना,
V,The leakage in the water pipe flooded the kitchen.,flood,سٔہلاب اَنُن,,भर_कर_बहना,
N,The rivers are in spate due to floods.,flood,سٔہلاب,,बाढ़,
N,The floor of the house is to be kept clean.,floor,پوٚتُھر,,फर्श,
N,Large volcanoes errupt from the sea floor.,floor,ژَکہِ,,तल,
N,We live on the tenth floor.,floor,پور،پۄہَر,,मंज़िल,
N,He took her to the floor on Christmas dance.,floor,خاص جاے,,खास_कार्यस्थल,
N,The wages have fallen on the floor.,floor,سرٛوٚگ,,निम्न_मूल्य,
V,He was floored by the argument.,floor,ہارناوُن،پاوُن,,हरा_देना,
V,The wrestler floored the opponent by a single punch.,floor,دَب دیُن،پَتَھر پاوُن,,गिरा_देना,
V,He preferred to have wooden flooring for the rooms.,floor,پٔتھرِس ترٛاوُن,,सतह_लगाना,
N,He went to the flour mill to get the grain ground.,flour,اوٹ,,आटा,
V,Cutlets are floured before frying.,flour,آٹہِ سۭتۍ وَلٕنۍ،اوٹ مَتُھن,,आटे_में_लपेटना,
V,Water began to flow as soon as the dam burst.,flow,وَسُن،پَکُن,,बहना,
V,The flow of trafic has increased nowadays.,flow,پَکُن,,सरकना,
V,Money flowed without restraints for his party.,flow,آبٕکۍ پٲٹھۍ خَرچُن,,अनवरत_प्रवाह,
V,Priests usually wear flowing robes.,flow,کٔھلۍ,,ढीले_ढाले,
V,I have no problem in the flow of money for this cause.,flow,خَرچاونَس,,बहुतायत_से,
N,The flow of blood from the wound stopped.,flow,وَسُن،نیرُن,,बहाव,
N,You cannot just go with the flow.,flow,لٕہِر,,धारा,
N,He speaks in a continous flow.,flow,رَوٲنی,,धारा_प्रवाह,
